City_ID,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,sabang,5.89,95.32,82.76,66,79,8.61,ID,1579969429
115,puerto cabezas,14.04,-83.39,77.67,64,13,6.91,NI,1579969429
116,otjimbingwe,-22.35,16.13,89.22,16,0,19.48,NA,1579969429
117,moron,-34.65,-58.62,96.01,32,0,5.01,AR,1579969423
118,buala,-8.14,159.59,78.53,81,99,7.11,SB,1579969430
119,ballina,-28.87,153.57,73.99,99,0,10.0,AU,1579969430
120,calbuco,-41.77,-73.13,59.4,88,100,5.5,CL,1579969430
121,providencia,28.72,-111.58,62.01,85,4,1.99,MX,1579969430
122,silifke,36.38,33.93,36.63,61,0,2.59,TR,1579969430
123,grand gaube,-20.01,57.66,78.01,88,75,18.34,MU,1579969431
124,kapaa,22.08,-159.32,68.0,59,45,7.34,US,1579969431
125,xining,36.62,101.77,15.98,67,13,2.62,CN,1579969431
126,constitucion,-35.33,-72.42,72.21,38,0,8.25,CL,1579969431
127,cururupu,-1.83,-44.87,89.08,62,17,6.82,BR,1579969431
128,pandan,14.05,124.17,79.86,84,57,15.57,PH,1579969431
129,ochakiv,46.61,31.55,42.91,62,13,12.53,UA,1579969431
130,severo-kurilsk,50.68,156.12,16.0,90,100,48.23,RU,1579969431
131,brza palanka,44.47,22.44,45.14,51,83,13.11,RS,1579969431
132,yenagoa,4.92,6.26,98.56,11,100,4.32,NG,1579969432
133,hvolsvollur,63.75,-20.22,41.0,75,20,20.8,IS,1579969432
134,deming,32.27,-107.76,48.0,65,75,9.17,US,1579969432
135,souillac,-20.52,57.52,78.01,88,75,18.34,MU,1579969432
136,sokoto,13.06,5.24,89.1,5,8,21.12,NG,1579969432
137,vardo,70.37,31.11,23.85,66,100,19.98,NO,1579969391
138,cabo san lucas,22.89,-109.91,68.0,82,99,1.16,MX,1579969339
139,havelock,34.88,-76.9,62.01,73,61,8.99,US,1579969234
140,hasaki,35.73,140.83,39.99,78,100,14.52,JP,1579969432
141,amuntai,-2.42,115.25,76.24,91,16,1.72,ID,1579969433
142,tura,25.52,90.22,58.84,67,0,3.38,IN,1579969433
143,atar,20.52,-13.05,90.75,15,36,8.19,MR,1579969433
144,padong,18.05,120.76,65.12,99,100,3.33,PH,1579969433
145,iskateley,67.68,53.15,-12.64,100,89,3.38,RU,1579969433
146,gualeguay,-33.14,-59.31,97.92,17,0,10.07,AR,1579969433
147,laguna,38.42,-121.42,53.01,93,90,4.54,US,1579969148
148,gao,16.64,1.64,93.4,5,0,17.56,ML,1579969434
149,nemuro,43.32,145.57,17.08,80,92,25.93,JP,1579969434
150,roald,62.58,6.13,46.0,81,100,14.0,NO,1579969395
151,port lincoln,-34.73,135.87,64.74,88,1,5.7,AU,1579969440
152,hobyo,5.35,48.53,80.53,75,68,19.82,SO,1579969440
153,panguna,-6.32,155.48,70.32,95,65,0.51,PG,1579969440
154,bilma,18.69,12.92,77.61,8,12,9.42,NE,1579969440
155,ponta do sol,32.67,-17.1,64.99,50,0,3.0,PT,1579969440
156,bambanglipuro,-7.95,110.28,76.93,85,31,3.96,ID,1579969386
157,bethel,41.37,-73.41,44.6,93,90,11.41,US,1579969414
158,narsaq,60.92,-46.05,17.6,61,75,2.24,GL,1579969441
159,kabale,-1.25,29.99,68.47,67,100,5.44,UG,1579969441
160,antofagasta,-23.65,-70.4,72.0,49,100,4.54,CL,1579969441
161,wagar,16.15,36.2,78.66,23,0,18.75,SD,1579969441
162,mantua,45.17,10.78,46.0,100,75,3.36,IT,1579969441
163,port hardy,50.7,-127.42,40.64,98,100,1.39,CA,1579969441
164,dongkan,34.0,119.83,41.47,71,100,7.99,CN,1579969441
165,touros,-5.2,-35.46,82.63,81,0,17.4,BR,1579969441
166,caracoli,6.41,-74.76,72.97,75,63,2.37,CO,1579969441
167,lima,-12.04,-77.03,78.94,60,100,6.58,PE,1579969364
168,leeton,-34.57,146.4,71.04,31,0,3.74,AU,1579969442
169,fort nelson,58.81,-122.7,-2.43,97,55,0.98,CA,1579969442
170,linxia,35.6,103.21,22.51,63,64,2.37,CN,1579969442
171,rock sound,24.9,-76.2,72.93,65,60,4.0,BS,1579969442
172,kangaatsiaq,68.31,-53.46,14.97,92,100,16.31,GL,1579969442
173,zyryanka,65.75,150.85,-30.41,97,100,9.46,RU,1579969442
174,mar del plata,-38.0,-57.56,69.01,92,0,8.25,AR,1579969443
175,pucallpa,-8.38,-74.55,77.41,86,100,0.92,PE,1579969443
176,khatanga,71.97,102.5,-16.53,89,96,2.51,RU,1579969443
177,tuy hoa,13.08,109.3,76.62,83,92,7.9,VN,1579969196
178,stony plain,53.53,-114.0,19.99,92,1,3.36,CA,1579969443
179,khorinsk,52.17,109.77,0.05,89,92,0.74,RU,1579969443
180,zakamensk,50.37,103.29,-0.42,87,0,3.42,RU,1579969443
181,la trinidad,16.45,120.59,69.39,82,54,2.55,PH,1579969443
182,mirabad,30.44,61.84,56.28,75,0,2.68,AF,1579969443
183,cayenne,4.93,-52.33,81.14,83,100,6.53,GF,1579969216
184,kaitangata,-46.28,169.85,57.87,81,97,3.44,NZ,1579969444
185,christchurch,-43.53,172.63,61.0,98,95,1.99,NZ,1579969229
186,sur,22.57,59.53,70.27,73,3,4.47,OM,1579969444
187,srednekolymsk,67.45,153.68,-29.29,96,100,8.84,RU,1579969444
188,ishigaki,24.34,124.16,74.03,84,100,11.95,JP,1579969440
189,tlalchapa,18.4,-100.47,73.22,49,0,1.12,MX,1579969444
190,brae,60.4,-1.35,47.28,84,100,34.38,GB,1579969444
191,cherskiy,68.75,161.3,-26.28,95,100,1.03,RU,1579969444
192,conway,35.09,-92.44,43.0,100,1,4.7,US,1579969158
193,leshukonskoye,64.9,45.76,1.62,95,100,4.74,RU,1579969445
194,tuatapere,-46.13,167.68,53.01,91,29,2.84,NZ,1579969445
195,westport,41.14,-73.36,46.0,100,90,11.41,US,1579969445
196,glenwood springs,39.55,-107.32,32.0,92,90,2.17,US,1579969445
197,coihaique,-45.58,-72.07,56.57,68,70,11.9,CL,1579969445
198,lere,10.39,8.57,83.84,8,100,11.43,NG,1579969445
199,ancud,-41.87,-73.82,59.29,98,100,5.64,CL,1579969445
200,neustadt,49.71,12.09,33.01,90,99,2.35,DE,1579969230
201,katsuura,35.13,140.3,46.99,64,100,22.26,JP,1579969452
202,nuqui,5.71,-77.27,80.74,78,99,7.87,CO,1579969452
203,yar-sale,66.83,70.83,-2.13,98,82,5.26,RU,1579969431
204,adolfo lopez mateos,28.47,-107.3,42.42,68,67,1.54,MX,1579969452
205,acapulco,16.86,-99.89,77.38,64,21,1.95,MX,1579969379
206,carmelo,-33.99,-58.29,93.0,35,0,7.0,UY,1579969452
207,aklavik,68.22,-135.01,-13.76,95,100,24.36,CA,1579969452
208,sitangkai,4.66,119.39,83.21,78,0,7.47,PH,1579969452
209,sitka,57.05,-135.33,31.93,81,100,6.33,US,1579969452
210,torbay,47.67,-52.73,23.0,63,0,5.99,CA,1579969453
211,santa rosa,14.31,121.11,78.01,85,48,4.0,PH,1579969453
212,nanakuli,21.39,-158.15,69.01,77,26,4.83,US,1579969453
213,iberia,29.95,-91.75,57.99,91,0,4.12,US,1579969453
214,maldonado,-34.67,-54.92,86.25,36,100,13.71,UY,1579969453
215,puerto escondido,15.85,-97.07,75.69,62,0,0.78,MX,1579969435
216,upata,8.01,-62.4,83.89,51,100,6.96,VE,1579969373
